"264";"MARISSG144";"Tênis New Balance Running Course Masculino - Azul - 44";"0.0000"
"265";"1Z22A009021W39";"Tênis Asics Blocker Feminino Cinza Roxo - 39";"1.0000"
"266";"1923450135";"Puma Emergence Wn's - Preto - 35";"0.0000"
"267";"1923450136";"Puma Emergence Wn's - Preto - 36";"0.0000"
"268";"1923450137";"Puma Emergence Wn's - Preto - 37";"0.0000"
"269";"1923450138";"Puma Emergence Wn's - Preto - 38";"0.0000"
"270";"1Z22A009002";"Tênis Asics Blocker Feminino - Preto e Prata";"0.0000"
"271";"1Z22A00900234";"Tênis Asics Blocker Feminino - Preto e Prata - 34";"0.0000"
"272";"30608312";"Tênis Couro Puma Ferrari Roma Masculino - Vermelho e Branco";"0.0000"
"273";"1Z22A00900235";"Tênis Asics Blocker Feminino - Preto e Prata - 35";"3.0000"
"274";"1Z22A00900236";"Tênis Asics Blocker Feminino - Preto e Prata - 36";"1.0000"
"275";"1Z22A00900237";"Tênis Asics Blocker Feminino - Preto e Prata - 37";"1.0000"
"276";"MARISCB2";"Tênis New Balance Arish V2 - Azul Royal - Masculino";"0.0000"
"277";"1Z22A00900238";"Tênis Asics Blocker Feminino - Preto e Prata - 38";"0.0000"
"278";"1Z22A00900239";"Tênis Asics Blocker Feminino - Preto e Prata - 39";"0.0000"
"279";"3060831239";"Tênis Couro Puma Ferrari Roma Masculino - Vermelho e Branco - 39";"0.0000"
"280";"3060831240";"Tênis Couro Puma Ferrari Roma Masculino - Vermelho e Branco - 40";"0.0000"
"281";"3060831241";"Tênis Couro Puma Ferrari Roma Masculino - Vermelho e Branco - 41";"1.0000"
"282";"3060831242";"Tênis Couro Puma Ferrari Roma Masculino - Vermelho e Branco - 42";"1.0000"
"283";"MARISCB239";"Tênis New Balance Arish V2 Masculino - Azul Royal - 39 ";"1.0000"
"284";"MARISCB240";"Tênis New Balance Arish V2 Masculino - Azul Royal - 40";"0.0000"
"285";"10571503";"Chuteira Society Puma One 19.3 TT - Verde - Masculino";"0.0000"
"286";"MARISCB241";"Tênis New Balance Arish V2 Masculino - Azul Royal - 41";"0.0000"
"287";"MARISCB242";"Tênis New Balance Arish V2 Masculino - Azul Royal - 42";"0.0000"
"288";"MARISCB243";"Tênis New Balance Arish V2 Masculino - Azul Royal - 43";"0.0000"
"289";"MARISCB244";"Tênis New Balance Arish V2 Masculino - Azul Royal - 44";"0.0000"
"290";"1057150339";"Chuteira Society Puma One 19.3 TT - Verde e Preto - 39";"1.0000"
"291";"1Z22A009400";"Tênis Asics Blocker  - Azul e Rosa - Feminino";"0.0000"
"292";"1057150340";"Chuteira Society Puma One 19.3 TT - Verde e Preto - 40";"2.0000"
"293";"1057150341";"Chuteira Society Puma One 19.3 TT - Verde e Preto - 41";"0.0000"
"294";"1Z22A00940035";"Tênis Asics Blocker Feminino - Azul e Rosa - 35";"1.0000"
"295";"1057150342";"Chuteira Society Puma One 19.3 TT - Verde e Preto - 42";"1.0000"
"296";"1Z22A00940036";"Tênis Asics Blocker Feminino - Azul e Rosa - 36";"1.0000"
"297";"1Z22A00940037";"Tênis Asics Blocker Feminino - Azul e Rosa - 37";"1.0000"
"298";"1Z22A00940038";"Tênis Asics Blocker Feminino - Azul e Rosa - 38";"0.0000"
"299";"1Z22A00940039";"Tênis Asics Blocker Feminino - Azul e Rosa - 39";"0.0000"
"300";"MARISCT2";"Tênis New Balance Arish V2 - Preto - Masculino";"0.0000"
"301";"MARISCT238";"Tênis New Balance Arish V2 Masculino - Preto - 38";"0.0000"
"302";"1Z21A009400";"Tênis Asics Blocker - Azul Escuro - Masculino";"0.0000"
"303";"MARISCT239";"Tênis New Balance Arish V2 Masculino - Preto - 39";"1.0000"
"304";"MARISCT240";"Tênis New Balance Arish V2 Masculino - Preto - 40";"1.0000"
"305";"MARISCT241";"Tênis New Balance Arish V2 Masculino - Preto - 41";"0.0000"
"306";"19184707";"Tênis Puma Enzo Weave Bdp  - Cinza - Masculino";"0.0000"
